編號,英文,中文
106,between,[介系詞] 在…和…之間
107,bicycle,[名詞] 腳踏車
108,big,[形容詞] 大的
109,bike,[動詞] 騎腳踏車; [名詞] 腳踏車
110,bird,[名詞] 鳥
111,birthday,[名詞] 生日
112,bite,[動詞] 咬
113,black,[形容詞] 黑色的; [名詞] 黑色;美國黑人
114,blackboard,[名詞] 黑板
115,blanket,[名詞] 毯子
116,blind,[形容詞] 瞎的
117,block,[動詞] 阻塞; [名詞] 街區
118,blow,[動詞] 吹
119,blue,[形容詞] 藍色的; [名詞] 藍色
120,boat,[名詞] 小船
121,body,[名詞] 身體
122,boil,[動詞] (水等)沸騰;開;滾
123,book,[名詞] 書本
124,bookstore,[名詞] 書店
125,bore,[動詞] 使厭煩
126,boring,[形容詞] 乏味的
127,born,[形容詞] 出生的;誕生的
128,borrow,[動詞] 借
129,boss,[名詞] 老闆
130,both,[形容詞] 兩者; [代名詞] 兩者(都)
131,bottle,[名詞] 瓶子
132,bottom,[名詞] 底部;屁股
133,bow,[動詞] 鞠躬; [名詞] 弓
134,bowl,[名詞] 碗
135,box,[名詞] 箱;盒;匣
136,boy,[名詞] 男孩
137,bread,[名詞] 麵包
138,break,[動詞] 斷裂;中斷;打破（記錄）; [名詞] 暫停
139,breakfast,[名詞] 早餐
140,bridge,[名詞] 橋
141,bright,[形容詞] 光亮的
142,bring,[動詞] 帶來
143,brother,[名詞] 兄;弟
144,brown,[形容詞] 褐色的;棕色的; [名詞] 棕色
145,brush,[動詞] 刷; [名詞] 刷子
146,bug,[名詞] 小蟲
147,build,[動詞] 建造;蓋
148,bun,[名詞] 小圓麵包
149,burn,[動詞] 燒;燙傷; [名詞] 灼傷
150,bus,[名詞] 公車
151,business,[名詞] 商業;事
152,businessman,[名詞] 商人
153,busy,[形容詞] 忙碌的
154,but,[連接詞] 但是
155,butter,[名詞] 奶油
156,butterfly,[名詞] 蝴蝶
157,buy,[動詞] 買
158,by,[介系詞] 經由
159,bye,[感歎詞] 再見;再會
160,cage,[名詞] 鳥籠;獸籠
161,cake,[名詞] 蛋糕
162,call,[動詞] 喊;打電話
163,camera,[名詞] 照相機
164,camp,[動詞] 露營; [名詞] 營地
165,can,[助動詞] 能; [名詞] 罐頭
166,candle,[名詞] 蠟燭
167,candy,[名詞] 糖果
168,cannot,[助動詞] 不能
169,can't,[縮短形] cannot (can 的反義)
170,cap,[名詞] 無邊便帽;蓋子
171,car,[名詞] 汽車
172,card,[名詞] 卡片
173,care,[動詞] 關心;照顧
174,careful,[形容詞] 小心的
175,carry,[動詞] 提;搬運
176,case,[名詞] 盒子;案件
177,castle,[名詞] 城堡
178,cat,[名詞] 貓
179,catch,[動詞] 接(球);捕獲
180,celebrate,[動詞] 慶祝
181,cell phone,[名詞] 手機
182,cellphone,"[名詞] 手機,大哥大"
183,cent,[名詞] 分(錢幣)
184,center,[名詞] 中心(點)
185,centimeter,[名詞] 公分
186,chair,[名詞] 椅子
187,chalk,[名詞] 粉筆
188,chance,[名詞] 機會
189,change,[動詞] 改變;更改; [名詞] 零錢
190,cheap,[形容詞] 便宜的
191,cheat,[動詞] 欺騙;作弊
192,check,[動詞] 檢查; [名詞] 支票;買單
193,cheer,[動詞] 向...歡呼; [名詞] 喝采;鼓勵
194,cheese,[名詞] 起司;乳酪
195,chess,[名詞] 西洋棋
196,chicken,[名詞] 雞;雞肉
197,child,[名詞] 小孩
198,China,[名詞] 中國
199,Chinese,[形容詞] 中國的;中國人的; [名詞] 中文;中國人
200,chocolate,[名詞] 巧克力
201,choose,[動詞] 選擇;挑選
202,chopsticks,[名詞] 筷子
203,Christmas,[名詞] 耶誕節
204,church,[名詞] 教堂
205,circle,[名詞] 圓圈;集團
206,city,[名詞] 都市
207,clap,[動詞] 拍(手);鼓(掌)
208,class,[名詞] 階級;班級;上課
209,classmate,[名詞] 同班同學
210,classroom,[名詞] 教室
211,clean,[形容詞] 乾淨的; [動詞] 打掃
212,clear,[形容詞] 清楚的;晴朗的
213,clerk,[名詞] 店員;辦事員;職員
214,climb,[動詞] 爬;攀登
215,clock,[名詞] 鐘
216,close,[形容詞] 近的;密切的; [動詞] 關上
217,cloudy,[形容詞] 多雲的;陰天的
218,club,[名詞] 俱樂部;夜總會;社團
219,coat,[名詞] 外套
220,coffee,[名詞] 咖啡
221,cola,[名詞] 可樂
222,cold,[形容詞] 寒冷的; [名詞] 感冒
223,collect,[動詞] 收集
224,color,[名詞] 顏色
225,comb,[動詞] 用梳子梳理; [名詞] 梳子
226,come,[動詞] 到來
227,comfortable,[形容詞] 舒適的
228,comic,[形容詞] 滑稽的; [名詞] 漫畫
229,common,[形容詞] 常見的
230,computer,[名詞] 電腦
231,convenient,[形容詞] 方便的
232,cook,[動詞] 煮; [名詞] 廚師
233,cookie,[名詞] 餅乾
234,cool,[形容詞] 涼快的;很棒的;酷
235,copy,[動詞] 拷貝;抄襲; [名詞] 拷貝;副本
236,corner,[名詞] 角落
237,correct,[形容詞] 正確的; [動詞] 改正;糾正
238,cost,[動詞] 花費; [名詞] 費用;成本
239,couch,[名詞] 長沙發
240,couldn't,[縮短形] could not
241,count,[動詞] 計算;數; [名詞] 計數;計算
242,country,[名詞] 國家;鄉下
243,course,[名詞] 課程;科目
244,cousin,[名詞] 表(堂)兄弟姊妹
245,cover,[動詞] 蓋住; [名詞] 封面
246,cow,[名詞] 母牛
247,crazy,[形容詞] 古怪的;著迷的
248,cross,[動詞] 越過;渡過; [名詞] 十字架
249,cry,[動詞] 哭叫
250,cup,[名詞] 杯子
251,cut,[動詞] 切割;剪
252,cute,[形容詞] 可愛的
253,dad,[名詞] 父親
254,daddy,[名詞] 父親
255,dance,[動詞] 跳舞; [名詞] 舞會
256,dangerous,[形容詞] 危險的
257,dark,[形容詞] 黑暗的
258,date,[動詞] 約會; [名詞] 日期
259,daughter,[名詞] 女兒
260,day,[名詞] 白天;日
261,dead,[形容詞] 死的
262,deal,[動詞] 處理;對付;對待[(+with)]; [名詞] 交易
263,dear,[形容詞] 親愛的
264,December,[名詞] 十二月
265,decide,[動詞] 決定
266,delicious,[形容詞] 好吃的
267,dentist,[名詞] 牙醫
268,department store,[名詞] 百貨公司
269,desk,[名詞] 書桌
270,dictionary,[名詞] 字典
271,didn't,[縮短形] did not
272,die,[動詞] 死; [名詞] 骰子
273,different,[形容詞] 不同的
274,difficult,[形容詞] 困難的
275,dig,[動詞] 挖掘
276,dining room,[名詞] 飯廳
277,dinner,[名詞] 晚餐
278,dirty,[形容詞] 骯髒的
279,dish,[名詞] 盤子;一盤菜
280,do,"[動詞] 做; [助動詞] 構成否定句,疑問句,或強調句"
281,doctor,[名詞] 醫生
282,dodge ball,[名詞] 躲避球遊戲
283,doesn't,[縮短形] does not
284,dog,[名詞] 狗
285,doll,[名詞] 洋娃娃
286,dollar,[名詞] 美元
287,don't,[縮短形] do not
288,door,[名詞] 門
289,dot,[名詞] 點;小圓點
290,down,[介系詞] 向下
291,dozen,[名詞] 一打
292,Dr.,[縮寫] 醫生
293,dragon,[名詞] 龍
294,draw,[動詞] 畫;繪製;描寫; [名詞] 平局;平手
295,drawer,[名詞] 抽屜
296,dream,[名詞] 夢
297,dress,[動詞] 穿著; [名詞] 洋裝
298,drink,[動詞] 喝; [名詞] 飲料
299,drive,[動詞] 開車
300,driver,[名詞] 司機
301,drop,[動詞] (使)滴落;丟下
302,drum,[名詞] 鼓
303,dry,[形容詞] 乾的
304,duck,[名詞] 鴨
305,dumpling,[名詞] 餃子
306,during,[介系詞] 在…期間
307,each,[形容詞] 每個; [代名詞] 各個
308,ear,[名詞] 耳朵
309,early,[形容詞] 早的;提早的; [副詞] 早;提早
310,earth,[名詞] 地球;土地
311,east,[形容詞] 東方的; [副詞] 向東方; [名詞] 東方
312,Easter,[名詞] 復活節
313,easy,[形容詞] 容易的
314,eat,[動詞] 吃
315,egg,[名詞] 蛋
316,eight,[形容詞] 八的; [名詞] 八
317,eighteen,[形容詞] 十八的; [名詞] 十八
318,eighty,[形容詞] 八十的; [名詞] 八十
319,either,[形容詞] 兩者之一; [副詞] 也; [連接詞] 或者(和or連用)
320,elementary school,[名詞] 小學
321,elephant,[名詞] 大象
322,eleven,[形容詞] 十一的; [名詞] 十一
323,else,[形容詞] 其他的
324,e-mail,[名詞] 電子郵件
325,end,[動詞] 結束; [名詞] 盡頭;結局
326,engineer,[名詞] 工程師
327,English,[名詞] 英語
328,enjoy,[動詞] 喜歡;享受
329,enough,[形容詞] 足夠的
330,enter,[動詞] 輸入;進入
331,envelope,[名詞] 信封
332,eraser,[名詞] 橡皮擦
333,eve,[名詞] 前夕
334,even,[形容詞] 均勻的;偶數的;平手的; [副詞] 即使
335,ever,[副詞] 從來;曾經
336,every,[形容詞] 每一個的
337,everybody,[代名詞] 每個人
338,everyone,[代名詞] 每個人
339,everything,[代名詞] 每樣事物;重於一切
340,example,[名詞] 例子
341,excellent,[形容詞] 非常好的
342,except,[介系詞] 除…之外
343,excited,[形容詞] 感到興奮的
344,exciting,[形容詞] 令人興奮的
345,excuse,[動詞] 原諒;借光; [名詞] 藉口
346,exercise,[名詞] 運動;習題
347,expensive,[形容詞] 貴的
348,experience,[動詞] 經歷;感受; [名詞] 經驗
349,eye,[名詞] 眼睛
350,face,[名詞] 臉
351,fact,[名詞] 事實
352,factory,[名詞] 工廠
353,fail,[動詞] 失敗;不及格
354,fall,[動詞] 掉下; [名詞] 秋天
355,family,[名詞] 家庭
356,famous,[形容詞] 著名的
357,fan,[名詞] 風扇;扇子;迷友
358,far,[形容詞] 遠的
359,farm,[動詞] 耕作;養殖;經營農場;從事畜牧業; [名詞] 農場
360,farmer,[名詞] 農夫
361,fast,[形容詞] 快的
362,fat,[形容詞] 胖的
363,father,[名詞] 父親
364,favorite,[形容詞] 最喜愛的
365,February,[名詞] 二月
366,feed,[動詞] 吃;餵養
367,feel,[動詞] 感覺
368,festival,[名詞] 節日
369,fever,[名詞] 發燒
370,few,[形容詞] 少數的;一些; [代名詞] (與a或the連用)一些
371,fifteen,[形容詞] 十五的; [名詞] 十五
372,fifty,[形容詞] 五十的; [名詞] 五十
373,fight,[動詞] 打架;作戰; [名詞] 打架;戰鬥
374,fill,[動詞] 充滿;填充
375,find,[動詞] 找到
376,fine,[形容詞] 好的
377,finger,[名詞] 手指
378,finish,[動詞] 完成
379,fire,[名詞] 火
380,first,[形容詞] 第一的
381,fish,[動詞] 釣魚; [名詞] 魚
382,fisherman,[名詞] 漁夫
383,five,[形容詞] 五的; [名詞] 五
384,fix,[動詞] 修理
385,floor,[名詞] 地板;樓;室內地上
386,flower,[名詞] 花
387,flute,[名詞] 橫笛
388,fly,[動詞] 飛; [名詞] 蒼蠅
389,follow,[動詞] 遵循;跟隨
390,food,[名詞] 食物
391,foot,[名詞] 腳;一尺長
392,for,"[介系詞] 為…做的;給; [連接詞] 因為,由於"
393,foreign,"[形容詞] 外國的,陌生的,外來的"
394,foreigner,[名詞] 外國人
395,forget,[動詞] 忘記
396,fork,[名詞] 叉子
397,forty,[形容詞] 四十的; [名詞] 四十
398,four,[形容詞] 四的; [名詞] 四
399,fourteen,[形容詞] 十四的; [名詞] 十四
400,fox,[名詞] 狐狸
401,free,[形容詞] 空閒的;自由的;免費的
402,French fries,[名詞] 薯條
403,fresh,[形容詞] 新鮮的
404,Friday,[名詞] 星期五
405,friend,[名詞] 朋友
406,friendly,[形容詞] 友善的
407,frisbee,[名詞] (投擲遊戲用的)飛碟;飛盤
408,frog,[名詞] 青蛙
409,from,[介系詞] 從
410,front,[名詞] 前方
411,fruit,[名詞] 水果
412,fry,[動詞] 油炸; [名詞] 炸薯條
413,full,[形容詞] 飽的;滿的
414,fun,[名詞] 樂趣
415,funny,[形容詞] 可笑的;滑稽的
416,future,[名詞] 未來
417,game,[名詞] 比賽;遊戲
418,garbage,[名詞] 垃圾
419,garden,[名詞] 花園
420,gas,[名詞] 瓦斯;汽油
421,gate,[名詞] 柵門;登機門
422,get,[動詞] 得到;拿到
423,ghost,[名詞] 鬼
424,giant,[形容詞] 巨大的; [名詞] 巨人
425,gift,[名詞] 禮物
426,girl,[名詞] 女孩
427,give,[動詞] 給
428,glad,[形容詞] 高興的
429,glass,[名詞] 玻璃杯;玻璃
430,glasses,[名詞] 眼鏡
431,glove,[名詞] 手套
432,glue,[動詞] 黏住;緊附; [名詞] 膠;膠水
433,go,[動詞] 去;走
434,goat,[名詞] 山羊
435,good,[形容詞] 好的
436,goodbye,[感歎詞] 再見;再會
437,good-bye,[感歎詞] 再見;再會; [名詞] 告別
438,goose,[名詞] 鵝
439,grade,[名詞] 年級;分數
440,gram,[名詞] 公克
441,grandfather,[名詞] 祖父;外祖父
442,grandma,[名詞] 祖母;外祖母
443,grandmother,[名詞] 祖母;外祖母
444,grandpa,[名詞] 祖父;外祖父
445,grape,[名詞] 葡萄
446,grass,[名詞] 草
447,gray,[形容詞] 灰色的; [名詞] 灰色
448,great,[形容詞] 很棒;大的
449,green,[形容詞] 綠色的; [名詞] 綠色
450,ground,[名詞] 地面
451,group,[名詞] 一群
452,grow,[動詞] 種植;成長
453,guava,[名詞] 番石榴
454,guess,[動詞] 猜; [名詞] 猜測
455,guitar,[名詞] 吉他
456,guy,[名詞] 傢伙;人
457,gym,[名詞] 體育館;體育;體操
458,habit,[名詞] 習慣
459,hadn't,[縮短形] had not
460,hair,[名詞] 頭髮
461,half,[名詞] 一半
462,Halloween,[名詞] 萬聖節
463,ham,[名詞] 火腿
464,hamburger,[名詞] 漢堡
465,hand,"[動詞] 面交,給,傳遞; [名詞] 手"
466,handsome,[形容詞] 英俊的
467,hang,[動詞] 把…掛起;吊
468,happen,[動詞] 發生
469,happy,[形容詞] 快樂的
470,hard,[形容詞] 硬的;難的; [副詞] 辛苦地;猛烈地;牢固地
471,hard-working,[形容詞] 勤勉的
472,hasn't,[縮短形] has not
473,hat,[名詞] 帽子
474,hate,[動詞] 憎恨
475,have,[動詞] 有; [助動詞] 已經
476,haven't,[縮短形] have not
477,he,[代名詞] 他
478,head,[名詞] 頭;首長
479,headache,[名詞] 頭痛
480,health,[名詞] 健康
481,healthy,[形容詞] 健康的
482,hear,[動詞] 聽見
483,heart,[名詞] 心臟
484,heat,[名詞] 熱氣
485,heavy,[形容詞] 重的
486,he'd,[縮短形] he had; he would
487,he'll,[縮短形] he will
488,hello,[感歎詞] 哈囉
489,help,[動詞] 幫忙
490,helpful,[形容詞] 有益的
491,hen,[名詞] 母雞
492,her,[代名詞] (受格) 她; (所有格) 她的
493,here,[副詞] 在這裡
494,hers,[代名詞] (所有格) 她的(東西)
495,herself,[代名詞] (反身代名詞) 她自己
496,he's,[縮短形] he is; he has
497,hey,[感歎詞] 嗨;喂
498,hi,[感歎詞] 嗨
499,hide,[動詞] 躲;隱藏
500,high,[形容詞] 高的
501,hike,[動詞] 徒步旅行; [名詞] 徒步旅行
502,hill,[名詞] 丘陵
503,him,[代名詞] (受格) 他
504,himself,[代名詞] (反身代名詞) 他自己
505,hippo,[名詞] 河馬
506,his,[代名詞] (所有格) 他的; 他的(東西)
507,history,[名詞] 歷史
508,hit,[動詞] 打;擊
509,hobby,[名詞] 嗜好
510,hold,[動詞] 拿著
511,holiday,[名詞] 假日
512,home,[名詞] 家
513,homework,[名詞] 家庭作業
514,honest,[形容詞] 誠實的
515,honey,[名詞] 蜂蜜;心愛的人
516,hop,[動詞] 單足跳
517,hope,[動詞] 希望
518,horse,[名詞] 馬
519,hospital,[名詞] 醫院
520,hot,[形容詞] 熱的
521,hot dog,[名詞] 熱狗
522,hotel,[名詞] 旅館
523,hour,[名詞] 小時
524,house,[名詞] 房子
525,housewife,[名詞] 家庭主婦
526,how,[副詞] 如何
527,however,[連接詞] 然而;不過
528,how's,[縮短形] how is
529,hundred,[形容詞] 一百的; [名詞] 一百
530,hungry,[形容詞] 飢餓的
531,hunt,[動詞] 追獵
532,hurry,[動詞] 趕快; [名詞] 匆忙
533,hurt,[動詞] 傷害;使疼痛
534,husband,[名詞] 丈夫
535,I,[代名詞] 我
536,ice,[名詞] 冰
537,ice cream,[名詞] 冰淇淋
538,I'd,[縮短形] I had; I would
539,idea,[名詞] 主意
540,if,[連接詞] 如果
541,I'll,"[縮短形] I shall, I will"
542,I'm,[縮短形] I am
543,important,[形容詞] 重要的
544,in,[介系詞] 在…之內
545,inch,[名詞] 英吋
546,insect,[名詞] 昆蟲
547,inside,[介系詞] 在…裡面
548,interest,[名詞] 興趣
549,interested,[形容詞] 感興趣的
550,interesting,[形容詞] 有趣的
551,Internet,[名詞] 網際網路
552,interview,[動詞] 面談;採訪; [名詞] 面談;採訪
553,into,[介系詞] 進入
554,invite,[動詞] 邀請
555,is,"[動詞] 是,在; be 動詞第三人稱,單數,現在式"
556,island,[名詞] 島嶼
557,isn't,[縮短形] is not
558,it,[代名詞] 它
559,it'll,[縮短形] it will
560,its,[代名詞] (所有格) 它的
561,it's,[縮短形] it is; it has
562,itself,[代名詞] (反身代名詞) 它自己
563,I've,[縮短形] I have
564,jacket,[名詞] 夾克;外套
565,January,[名詞] 一月
566,jeans,[名詞] 牛仔褲
567,job,[名詞] 職業;工作
568,jog,[動詞] 慢跑
569,join,[動詞] 加入
570,joy,[名詞] 歡喜;樂趣
571,juice,[名詞] 果汁
572,July,[名詞] 七月
573,jump,[動詞] 跳躍
574,June,[名詞] 六月
575,junior high school,[片語] 初級中學
576,just,[副詞] 正好;剛才
577,kangaroo,[名詞] 袋鼠
578,keep,[動詞] 保留;保持
579,key,[名詞] 鑰匙
580,kick,[動詞] 踢
581,kid,[動詞] 戲弄; [名詞] 小孩
582,kill,[動詞] 殺
583,kilogram,[名詞] 公斤
584,kind,[形容詞] 仁慈的; [名詞] 種類
585,king,[名詞] 國王
586,kiss,[動詞] 親吻; [名詞] 吻
587,kitchen,[名詞] 廚房
588,kite,[名詞] 風箏
589,knee,[名詞] 膝蓋
590,knife,[名詞] 刀子
591,knock,[動詞] 敲
592,know,[動詞] 知道
593,knowledge,[名詞] 學問;知識
594,koala,[名詞] 澳洲產無尾熊
595,lake,[名詞] 湖
596,lamp,[名詞] 燈
597,land,[動詞] 登陸; [名詞] 陸地
598,language,[名詞] 語言
599,lantern,[名詞] 燈籠
600,large,[形容詞] 大的
601,last,[形容詞] 最後的; [動詞] 持續; [副詞] 最後地
602,late,[形容詞] 晚的;遲的
603,laugh,[動詞] 笑
604,lawyer,[名詞] 律師
605,lazy,[形容詞] 懶惰的
606,lead,[動詞] 引導
607,leader,[名詞] 領袖
608,learn,[動詞] 學習
609,least,[名詞] 最少
610,leave,[動詞] 離開;丟下
611,left,[形容詞] 左邊的
612,leg,[名詞] 腿
613,lemon,[名詞] 檸檬
614,lend,[動詞] 出借
615,less,[形容詞] 較少的
616,lesson,[名詞] 課;教訓
617,let,[動詞] 讓
618,let's,[縮短形] let us
619,letter,[名詞] 信;字母
620,lettuce,[名詞] 類似萵苣的生菜
621,library,[名詞] 圖書館
622,lid,[名詞] 蓋子
623,lie,[動詞] 說謊;躺; [名詞] 謊言
624,life,[名詞] 人生;生命
625,light,[形容詞] 輕的; [名詞] 光線;燈
626,like,[動詞] 喜歡; [介系詞] 像;如
627,line,[動詞] 排隊; [名詞] 線;隊伍
628,lion,[名詞] 獅子
629,lip,[名詞] 嘴唇
630,list,[動詞] 列成表; [名詞] 單子
631,listen,[動詞] 傾聽
632,little,[形容詞] 很少的; [副詞] 一點點
633,live,[動詞] 居住
634,living room,[名詞] 客廳
635,lonely,[形容詞] 寂寞的
636,long,[形容詞] 長的
637,look,[動詞] 看
638,lose,[動詞] 輸;失去
639,lot,"[名詞] 很多,多數;一批;一塊地"
640,loud,[形容詞] 大聲的
641,love,"[動詞] 愛好,喜歡; [名詞] 愛"
642,lovely,[形容詞] 動人的
643,low,[形容詞] 低的;矮的
644,lucky,[形容詞] 幸運的
645,lunch,[名詞] 午餐
646,machine,[名詞] 機器
647,mad,[形容詞] 發火;發瘋;發狂的
648,magic,[形容詞] 不可思議的;有魔力的; [名詞] 魔術
649,mail,[動詞] 寄信; [名詞] 信件
650,mailman,[名詞] 郵差
651,make,[動詞] 製造; 使得
652,man,[名詞] 男人; 人類
653,many,[形容詞] 很多的; [代名詞] 許多
654,map,[名詞] 地圖
655,march,[名詞] 三月
656,mark,[動詞] 做記號; [名詞] 記號
657,marker,[名詞] 標誌;白板筆;馬克筆
658,market,[名詞] 市場
659,married,[形容詞] 已婚的
660,mask,[名詞] 面具
661,mat,[名詞] 蓆子;墊子
662,math,[名詞] 數學
663,mathematics,[名詞] 數學
664,matter,[名詞] 事情
665,may,[助動詞] 可能
666,maybe,[副詞] 可能;也許
667,me,[代名詞] (受格) 我
668,meal,[名詞] 餐
669,mean,[形容詞] 兇的;吝嗇的; [動詞] 意指
670,meat,[名詞] 肉類
671,medicine,[名詞] 藥
672,medium,[形容詞] 中等的
673,meet,[動詞] 遇見
674,menu,[名詞] 菜單
675,mightn't,[縮短形] might not
676,mile,[名詞] 英哩
677,milk,[名詞] 牛奶
678,million,[名詞] 百萬
679,mind,[動詞] 介意; [名詞] 心智
680,mine,[代名詞] (所有格) 我的(東西)
681,minute,[名詞] 分鐘
682,miss,[動詞] 想念;惦記;未達到; [名詞] 少女
683,mistake,[名詞] 錯誤
684,modern,[形容詞] 現代的
685,mom,[名詞] 母親
686,moment,[名詞] 片刻
687,mommy,[名詞] 母親
688,Monday,[名詞] 星期一
689,money,[名詞] 錢
690,monkey,[名詞] 猴子
691,month,[名詞] 月份
692,moon,[名詞] 月亮
693,mop,[動詞] 拖洗;擦去; [名詞] 拖把
694,more,[名詞] 更多的數量
695,morning,[名詞] 早晨
696,most,[代名詞] 大部分
697,mother,[名詞] 母親
698,motorcycle,[名詞] 機車
699,mountain,[名詞] 山
700,mouse,[名詞] 老鼠; 滑鼠
701,mouth,[名詞] 嘴巴
702,move,[動詞] 移動
703,movie,[名詞] 電影
704,Mr.,[縮寫] 先生
705,Mrs.,[縮寫] 女士;太太
706,MRT,[縮寫] 大眾捷運系統
707,Ms.,[縮寫] 女士或小姐
708,much,[形容詞] 很多的
709,mud,[名詞] 泥巴
710,museum,[名詞] 博物館
711,music,[名詞] 音樂
712,must,[助動詞] 必須
713,mustn't,[縮短形] must not
714,my,[代名詞] (所有格) 我的
715,myself,[代名詞] (反身代名詞) 我自己
716,nail,[名詞] 釘子;指甲
717,name,[動詞] 給...取名;列舉; [名詞] 名字
718,national,[形容詞] 國家的
719,nature,[名詞] 自然
720,near,[形容詞] 近的; [副詞] 近地; [介系詞] 接近
721,neck,[名詞] 脖子
722,need,"[動詞] 需要; [助動詞] (用於疑問句和否定句)需要,必須"
723,neighbor,[名詞] 鄰居
724,never,[副詞] 永不
725,new,[形容詞] 新的
726,news,[名詞] 新聞
727,newspaper,[名詞] 報紙
728,next,[形容詞] 下一個
729,nice,[形容詞] 好的
730,night,[名詞] 夜晚
731,nine,[形容詞] 九的; [名詞] 九
732,nineteen,[形容詞] 十九的; [名詞] 十九
733,ninety,[形容詞] 九十的; [名詞] 九十
734,no,[形容詞] 沒有;不; [副詞] 不
735,nobody,[名詞] 無名小子; [代名詞] 無人
736,nobody's,[縮短形] nobody is; nobody has
737,nod,[動詞] 點頭; [名詞] 點頭
738,noise,[名詞] 噪音
739,noodle,[名詞] 麵
740,noon,[名詞] 中午
741,north,[形容詞] 北方的; [副詞] 向北方; [名詞] 北方
742,nose,[名詞] 鼻子
743,not,[副詞] 不
744,note,[動詞] 注意;記下; [名詞] 筆記;音符;記錄;便條
745,notebook,[名詞] 筆記本
746,nothing,[代名詞] 無事;無物
747,notice,[動詞] 注意到;通知; [名詞] 注意;通知
748,November,[名詞] 十一月
749,now,[副詞] 現在
750,number,[名詞] 號碼;數字
751,nurse,[名詞] 護士
752,o'clock,[名詞] 點鐘
753,October,[名詞] 十月
754,of,[介系詞] …的，屬於
755,off,[副詞] 脫下; [介系詞] 離去
756,office,[名詞] 辦公室
